"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-sandstone.css", "CSS", 11257, 0, 38, 906, 12201
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-simplex.css", "CSS", 11237, 0, 38, 911, 12186
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-sketchy.css", "CSS", 11484, 0, 38, 929, 12451
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-slate.css", "CSS", 11542, 0, 38, 912, 12492
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-solar.css", "CSS", 11212, 0, 38, 899, 12149
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-spacelab.css", "CSS", 11312, 0, 38, 916, 12266
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-superhero.css", "CSS", 11268, 0, 38, 910, 12216
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-united.css", "CSS", 11143, 0, 38, 896, 12077
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-vapor.css", "CSS", 11590, 0, 38, 921, 12549
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-yeti.css", "CSS", 11369, 0, 38, 918, 12325
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-zephyr.css", "CSS", 11327, 0, 38, 918, 12283
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\style.css", "CSS", 31, 0, 0, 7, 38
"Total", "-", 294424, 5211, 1094, 24868, 325597
